LocationType,Location,TimeFrame,DataFormat,Data
County,Davidson,2011,Currency,48734.72
County,Davidson,2012,Currency,51526.08
County,Davidson,2013,Currency,51245.00
County,Davidson,2014,Currency,54307.00
County,Davidson,2015,Currency,55411.00
County,Davidson,2016,Currency,58283.00
County,Davidson,2017,Currency,63063.00
County,Davidson,2018,Currency,66060.00
County,Davidson,2021,Currency,82087.00
County,Davidson,2019,Currency,71100.00
County,Davidson,2020,Currency,74857.00
County,Decatur,1997,Currency,17825.00
County,Decatur,1998,Currency,18478.00
County,Decatur,1999,Currency,19010.00
County,Decatur,2000,Currency,20669.00
County,Decatur,2001,Currency,20849.00
County,Decatur,2002,Currency,21749.00
County,Decatur,2003,Currency,23667.00
County,Decatur,2004,Currency,23852.00
County,Decatur,2005,Currency,25330.00
County,Decatur,2006,Currency,27195.00
County,Decatur,2007,Currency,28038.00
County,Decatur,2008,Currency,29560.00
County,Decatur,2009,Currency,29582.00
County,Decatur,2010,Currency,31265.00
County,Decatur,2011,Currency,33479.16
County,Decatur,2012,Currency,34797.59
County,Decatur,2013,Currency,35540.00
County,Decatur,2014,Currency,33878.00
County,Decatur,2015,Currency,34149.00
County,Decatur,2016,Currency,34411.00
County,Decatur,2017,Currency,41882.00
County,Decatur,2018,Currency,42639.00
County,Decatur,2021,Currency,48912.00
County,Decatur,2019,Currency,43581.00
County,Decatur,2020,Currency,45823.00
County,DeKalb,1997,Currency,18282.00
County,DeKalb,1998,Currency,18586.00
County,DeKalb,1999,Currency,19132.00
County,DeKalb,2000,Currency,20476.00
County,DeKalb,2001,Currency,21053.00
County,DeKalb,2002,Currency,21739.00
County,DeKalb,2003,Currency,22317.00
County,DeKalb,2004,Currency,23803.00
County,DeKalb,2005,Currency,25243.00
County,DeKalb,2006,Currency,25553.00
County,DeKalb,2007,Currency,26756.00
County,DeKalb,2008,Currency,27592.00
County,DeKalb,2009,Currency,27467.00
County,DeKalb,2010,Currency,29971.00
County,DeKalb,2011,Currency,30917.36
County,DeKalb,2012,Currency,32316.76
County,DeKalb,2013,Currency,32734.00
County,DeKalb,2014,Currency,32681.00
County,DeKalb,2015,Currency,33746.00
County,DeKalb,2016,Currency,34346.00
County,DeKalb,2017,Currency,38720.00
County,DeKalb,2018,Currency,40132.00
County,DeKalb,2021,Currency,47634.00
County,DeKalb,2019,Currency,41954.00
County,DeKalb,2020,Currency,44606.00
County,Dickson,1997,Currency,21371.00
County,Dickson,1998,Currency,22019.00
County,Dickson,1999,Currency,22914.00
County,Dickson,2000,Currency,23955.00
County,Dickson,2001,Currency,23691.00
County,Dickson,2002,Currency,23893.00
County,Dickson,2003,Currency,23661.00
County,Dickson,2004,Currency,25188.00
County,Dickson,2005,Currency,26509.00
County,Dickson,2006,Currency,27738.00
County,Dickson,2007,Currency,28658.00
County,Dickson,2008,Currency,30204.00
County,Dickson,2009,Currency,29377.00
County,Dickson,2010,Currency,29655.00
County,Dickson,2011,Currency,31213.59
County,Dickson,2012,Currency,32985.33
County,Dickson,2013,Currency,33039.00
