Year,County,Value,LastReportedDate
2018,Lawrence,41553,4/20/21
2018,Lewis,37139,4/20/21
2018,Lincoln,45736,4/20/21
2018,Loudon,56078,4/20/21
2018,Macon,36246,4/20/21
2018,Madison,46223,4/20/21
2018,Marion,48024,4/20/21
2018,Marshall,49370,4/20/21
2018,Maury,54249,4/20/21
2018,McMinn,41398,4/20/21
2018,McNairy,36055,4/20/21
2018,Meigs,43250,4/20/21
2018,Monroe,38327,4/20/21
2018,Montgomery,55972,4/20/21
2018,Moore,52294,4/20/21
2018,Morgan,40166,4/20/21
2018,Obion,39866,4/20/21
2018,Overton,36558,4/20/21
2018,Perry,34634,4/20/21
2018,Pickett,41004,4/20/21
2018,Polk,41818,4/20/21
2018,Putnam,40888,4/20/21
2018,Rhea,39451,4/20/21
2018,Roane,50003,4/20/21
2018,Robertson,61774,4/20/21
2018,Rutherford,63846,4/20/21
2018,Scott,35453,4/20/21
2018,Sequatchie,51750,4/20/21
2018,Sevier,45943,4/20/21
2018,Shelby,49782,4/20/21
2018,Smith,46404,4/20/21
2018,Stewart,42269,4/20/21
2018,Sullivan,43442,4/20/21
2018,Sumner,64631,4/20/21
2018,Tennessee,50972,4/20/21
2018,Tipton,60167,4/20/21
2018,Trousdale,52864,4/20/21
2018,Unicoi,39851,4/20/21
2018,Union,41352,4/20/21
2018,VanBuren,37127,4/20/21
2018,Warren,37715,4/20/21
2018,Washington,46752,4/20/21
2018,Wayne,38634,4/20/21
2018,Weakley,38566,4/20/21
2018,White,40745,4/20/21
2018,Williamson,109026,4/20/21
2018,Wilson,71513,4/20/21
2019,Anderson,50392,4/20/21
2019,Bedford,50415,4/20/21
2019,Benton,37512,4/20/21
2019,Bledsoe,44122,4/20/21
2019,Blount,56667,4/20/21
2019,Bradley,51331,4/20/21
2019,Campbell,39803,4/20/21
2019,Cannon,55330,4/20/21
2019,Carroll,42637,4/20/21
2019,Carter,38092,4/20/21
2019,Cheatham,61913,4/20/21
2019,Chester,51946,4/20/21
2019,Claiborne,36835,4/20/21
2019,Clay,32167,4/20/21
2019,Cocke,36716,4/20/21
2019,Coffee,50351,4/20/21
2019,Crockett,44717,4/20/21
2019,Cumberland,45958,4/20/21
2019,Davidson,60388,4/20/21
2019,Decatur,42031,4/20/21
2019,DeKalb,45511,4/20/21
2019,Dickson,53076,4/20/21
2019,Dyer,44185,4/20/21
2019,Fayette,60711,4/20/21
2019,Fentress,36520,4/20/21
2019,Franklin,51585,4/20/21
2019,Gibson,43171,4/20/21
2019,Giles,49614,4/20/21
2019,Grainger,44064,4/20/21
2019,Greene,42595,4/20/21
2019,Grundy,40516,4/20/21
2019,Hamblen,43619,4/20/21
2019,Hamilton,55070,4/20/21
2019,Hancock,30136,4/20/21
2019,Hardeman,40304,4/20/21
2019,Hardin,40682,4/20/21
2019,Hawkins,41924,4/20/21
2019,Haywood,37905,4/20/21
2019,Henderson,43305,4/20/21
2019,Henry,40502,4/20/21
2019,Hickman,43596,4/20/21
2019,Houston,42711,4/20/21
2019,Humphreys,45667,4/20/21
2019,Jackson,35207,4/20/21
2019,Jefferson,49139,4/20/21
2019,Johnson,36004,4/20/21
2019,Knox,57470,4/20/21
2019,Lake,35191,4/20/21
2019,Lauderdale,39896,4/20/21
2019,Lawrence,43614,4/20/21
2019,Lewis,37277,4/20/21
2019,Lincoln,49485,4/20/21
2019,Loudon,58065,4/20/21
2019,Macon,37430,4/20/21
2019,Madison,48161,4/20/21
2019,Marion,49432,4/20/21
2019,Marshall,53197,4/20/21
2019,Maury,57170,4/20/21
2019,McMinn,43285,4/20/21
2019,McNairy,39161,4/20/21
2019,Meigs,49167,4/20/21
2019,Monroe,42429,4/20/21
2019,Montgomery,57541,4/20/21
2019,Moore,57708,4/20/21
2019,Morgan,41333,4/20/21
2019,Obion,39615,4/20/21
2019,Overton,37197,4/20/21
2019,Perry,41034,4/20/21
2019,Pickett,39554,4/20/21
2019,Polk,43306,4/20/21
2019,Putnam,44259,4/20/21
2019,Rhea,42206,4/20/21
2019,Roane,53367,4/20/21
2019,Robertson,63307,4/20/21
2019,Rutherford,67429,4/20/21
2019,Scott,38864,4/20/21
2019,Sequatchie,49370,4/20/21
2019,Sevier,49610,4/20/21
2019,Shelby,51657,4/20/21
2019,Smith,48068,4/20/21
2019,Stewart,45809,4/20/21
2019,Sullivan,46684,4/20/21
2019,Sumner,67204,4/20/21
2019,Tennessee,53320,4/20/21
2019,Tipton,61291,4/20/21
2019,Trousdale,56321,4/20/21
2019,Unicoi,41890,4/20/21
2019,Union,44671,4/20/21
2019,VanBuren,42724,4/20/21
2019,Warren,41125,4/20/21
2019,Washington,48334,4/20/21
2019,Wayne,41427,4/20/21
2019,Weakley,39937,4/20/21
2019,White,41998,4/20/21
2019,Williamson,112962,4/20/21
2019,Wilson,75991,4/20/21
